rule_id,domain,legacy_rule_name,legacy_status,target_disposition,target_test_id,decision_id,owner,evidence,decision_status,notes
BR-AGENDA-001,AGENDA,Enum de status do agendamento,ativo,correct,PT-AGENDA-001,unassigned,produto+engenharia,packages/db/src/schema/appointments.ts:34;packages/db/src/schema/appointments.ts:86,proposed,Validar disposicao e automatizar comportamento alvo
BR-AGENDA-002,AGENDA,Conflito de horário do terapeuta (constraint DB),ativo,preserve,PT-AGENDA-002,unassigned,produto+engenharia,apps/api/src/routes/appointmentHelpers.ts:143;apps/api/src/routes/appointments.ts:371-372;apps/api/src/routes/appointments.ts:672-675,proposed,Validar disposicao e automatizar comportamento alvo
BR-AGENDA-003,AGENDA,Capacidade do slot/sala,ativo,preserve,PT-AGENDA-003,unassigned,produto+engenharia,apps/api/src/routes/appointmentHelpers.ts:280-296;apps/api/src/routes/appointments.ts:287;packages/db/src/schema/appointments.ts:173,proposed,Validar disposicao e automatizar comportamento alvo
BR-AGENDA-004,AGENDA,Duração padrão de 60 minutos,ativo,preserve,PT-AGENDA-004,unassigned,produto+engenharia,packages/db/src/schema/appointments.ts:83,proposed,Validar disposicao e automatizar comportamento alvo
BR-AGENDA-005,AGENDA,Tipos de agendamento,ativo-com-legado-excluido,correct,PT-AGENDA-005,unassigned,produto+engenharia,packages/db/src/schema/appointments.ts:47-54;packages/db/src/schema/appointments.ts:87,proposed,Validar disposicao e automatizar comportamento alvo
BR-AGENDA-006,AGENDA,Agendamento em grupo,legado-fora-do-escopo-alvo,do_not_port,PT-GROUP-01,DEC-001,produto+engenharia,packages/db/src/schema/appointments.ts:90-92;apps/api/migrations/0066_groups.sql:25;apps/api/migrations/0066_groups.sql:58,accepted,Capacidade coletiva excluida sem equivalente alvo
BR-AGENDA-007,AGENDA,Status de agendamento customizáveis por organização,ativo,correct,PT-AGENDA-007,unassigned,produto+engenharia,apps/api/migrations/0063_appointment_status_settings.sql:32-36;packages/db/src/schema/appointments.ts:160-184,proposed,Validar disposicao e automatizar comportamento alvo
BR-AGENDA-008,AGENDA,Recorrência em séries,ativo,preserve,PT-AGENDA-008,unassigned,produto+engenharia,apps/api/src/routes/scheduling-recurring.ts:53-66;apps/api/src/routes/scheduling-recurring.ts:162;packages/db/src/schema/appointments.ts:126,proposed,Validar disposicao e automatizar comportamento alvo
BR-AGENDA-009,AGENDA,Confirmação D-2 via WhatsApp,ativo,preserve,PT-AGENDA-009,unassigned,produto+engenharia,apps/api/src/cron.ts:88-97,proposed,Validar disposicao e automatizar comportamento alvo
BR-AGENDA-010,AGENDA,Confirmação urgente D-1 com dedup,ativo,preserve,PT-AGENDA-010,unassigned,produto+engenharia,apps/api/src/cron.ts:117-131,proposed,Validar disposicao e automatizar comportamento alvo
BR-AGENDA-011,AGENDA,Lembrete same-day para não confirmados,ativo,preserve,PT-AGENDA-011,unassigned,produto+engenharia,apps/api/src/cron.ts:117-121,proposed,Validar disposicao e automatizar comportamento alvo
BR-AGENDA-012,AGENDA,Lembretes configuráveis (regra 5h + exceções),ativo,preserve,PT-AGENDA-012,unassigned,produto+engenharia,apps/api/src/cron.ts:57-63;apps/api/migrations/0121_fix_notification_settings_upsert.sql:1-24,proposed,Validar disposicao e automatizar comportamento alvo
BR-AGENDA-013,AGENDA,Agendamento online público: slots 08:00-18:00 de 30min,ativo,correct,PT-AGENDA-013,unassigned,produto+engenharia,apps/api/src/routes/publicBooking.ts:98-121,proposed,Validar disposicao e automatizar comportamento alvo
BR-AGENDA-014,AGENDA,Escalas de funcionamento por dia da semana,ativo,preserve,PT-AGENDA-014,unassigned,produto+engenharia,apps/api/migrations/0067_staff_schedules.sql:7,proposed,Validar disposicao e automatizar comportamento alvo
BR-AGENDA-015,AGENDA,Fila de espera (waitlist),ativo,preserve,PT-AGENDA-015,unassigned,produto+engenharia,apps/api/src/routes/scheduling-waitlist.ts:1,proposed,Validar disposicao e automatizar comportamento alvo
BR-AGENDA-016,AGENDA,Faturamento por status de billing,ativo,preserve,PT-AGENDA-016,unassigned,produto+engenharia,packages/db/src/schema/appointments.ts:106;packages/db/src/schema/appointments.ts:112,proposed,Validar disposicao e automatizar comportamento alvo
BR-AGENDA-017,AGENDA,Check-in público,ativo,correct,PT-AGENDA-017,unassigned,produto+engenharia,src/routes/router.tsx:60,proposed,Validar disposicao e automatizar comportamento alvo
BR-EVOLUCAO-001,EVOLUCAO,Ciclo de vida da sessão clínica,parcial,correct,PT-EVOLUCAO-001,unassigned,responsavel_clinico+engenharia,packages/db/src/schema/sessions.ts:35-41;apps/api/src/routes/sessions.ts:52,proposed,Validar disposicao e automatizar comportamento alvo
BR-EVOLUCAO-002,EVOLUCAO,Autosave idempotente,ativo,preserve,PT-EVOLUCAO-002,unassigned,responsavel_clinico+engenharia,apps/api/src/routes/sessions.ts:160-175,proposed,Validar disposicao e automatizar comportamento alvo
