name,source,consumer,purpose_inferido
HYPERDRIVE,wrangler.toml (binding hyperdrive),apps/api,Pool Neon Postgres via Hyperdrive (única via de acesso ao DB em prod)
MEDIA_BUCKET,wrangler.toml (binding r2),apps/api,R2 fisioflow-media (mídia de exercícios/pacientes)
EXAMS_BUCKET,wrangler.toml (binding r2),apps/api,R2 fisioflow-exams (exames)
CLINICAL_DOCS_BUCKET,wrangler.toml (binding r2),apps/api,R2 fisioflow-clinical-docs (documentos clínicos)
STREAM,wrangler.toml (binding stream),apps/api,Cloudflare Stream (vídeos de exercícios)
FISIOFLOW_CONFIG,wrangler.toml (binding kv),apps/api,KV de configuração/remote config
DB,wrangler.toml (binding d1),apps/api,D1 fisioflow-db (dados edge ex.: feriados)
EDGE_CACHE,wrangler.toml (binding d1),apps/api,D1 fisioflow-edge-cache (cache na borda)
ANALYTICS,wrangler.toml (binding analytics_engine),apps/api + apps/ai-gateway,Analytics Engine (fisioflow_events / fisioflow_ai_usage)
VECTORIZE_KNOWLEDGE_BASE,wrangler.toml (binding vectorize),apps/api,Índice fisioflow-knowledge-base (busca semântica pgvector-like)
AI_SEARCH,wrangler.toml (binding ai_search),apps/api,AI Search fisioflow-rag (RAG interno)
AI_SEARCH_PATIENT,wrangler.toml (binding ai_search),apps/api,AI Search fisioflow-rag-paciente (RAG isolado do paciente)
EVENTS_PIPELINE,wrangler.toml (binding pipelines),apps/api,Cloudflare Pipelines (lake de eventos)
AI,wrangler.toml (binding ai),apps/api,Workers AI (modelos @cf via registry workersAi.ts)
BROWSER,wrangler.toml (binding browser),apps/api,Browser Rendering (PDF/screenshot)
IMAGES,wrangler.toml (binding images),apps/api,Cloudflare Images (transformações)
BACKGROUND_QUEUE,wrangler.toml (queue producer/consumer),apps/api,Queue fisioflow-background-tasks (tarefas assíncronas)
WHATSAPP_QUEUE,wrangler.toml (queue producer/consumer),apps/api,Queue fisioflow-whatsapp-inbound (webhook -> processamento)
WHATSAPP_DLQ,wrangler.toml (queue producer/consumer),apps/api,DLQ WhatsApp (mensagens falhas p/ revisão manual)
ORGANIZATION_STATE,wrangler.toml (binding DO),apps/api,DO OrganizationState (estado org / WS)
PATIENT_AGENT,wrangler.toml (binding DO),apps/api,DO PatientAgentSql (agente do paciente)
ASSESSMENT_LIVE_SESSION,wrangler.toml (binding DO),apps/api,DO AssessmentLiveSession (avaliação ao vivo)
CLINIC_AGENT,wrangler.toml (binding DO),apps/api,DO ClinicAgentSql (agente da clínica)
VOICE_SCRIBE_AGENT,wrangler.toml (binding DO),apps/api,DO VoiceScribeAgent (ditado de evolução Nova-3)
EVOLUTION_COLLABORATION,wrangler.toml (binding DO),apps/api,DO EvolutionCollaborationSql (colaboração Yjs na evolução)
WORKFLOW_APPOINTMENT_REMINDER,wrangler.toml (binding workflow),apps/api,Workflow lembrete de consulta
WORKFLOW_PATIENT_ONBOARDING,wrangler.toml (binding workflow),apps/api,Workflow onboarding de paciente
WORKFLOW_NFSE,wrangler.toml (binding workflow),apps/api,Workflow emissão NFS-e
WORKFLOW_HEP_COMPLIANCE,wrangler.toml (binding workflow),apps/api,Workflow adesão a exercícios domiciliares (HEP)
WORKFLOW_DISCHARGE,wrangler.toml (binding workflow),apps/api,Workflow alta de paciente
WORKFLOW_REENGAGEMENT,wrangler.toml (binding workflow),apps/api,Workflow reengajamento
WORKFLOW_DIGITAL_TWIN,wrangler.toml (binding workflow),apps/api,Workflow digital twin do paciente
WORKFLOW_SESSION_SUMMARY,wrangler.toml (binding workflow),apps/api,Workflow resumo de sessão
WORKFLOW_KNOWLEDGE_SYNC,wrangler.toml (binding workflow),apps/api,Workflow sync base de conhecimento
WORKFLOW_WIKI_SYNC,wrangler.toml (binding workflow),apps/api,Workflow sync wiki RAG
WORKFLOW_AUTOMATION,wrangler.toml (binding workflow),apps/api,Workflow motor de automações (canvas)
WORKFLOW_BIOMECHANICS_ANALYSIS,wrangler.toml (binding workflow),apps/api,Workflow análise biomecânica
AGENT_MEMORY,wrangler.toml (binding comentado),apps/api,Agent Memory (beta privado Cloudflare ainda não liberado)
ENVIRONMENT,wrangler.toml [vars],apps/api,Nome do ambiente (production/staging)
ALLOWED_ORIGINS,wrangler.toml [vars] + .dev.vars,apps/api,CORS allowlist
