produto,rota,tela,persona,objetivo,componentes_chave,formularios,estados(loading/empty/error),permissao,api_calls_principais,status
auth,/auth,Login/Cadastro (Auth),todos,autenticar via Neon Auth (JWT),src/pages/Auth.tsx,login/signup,loading/erro credenciais,publica,POST /__neon-auth (Neon Auth),ativo
auth,/welcome,Boas-vindas,novo usuario,onboarding pos-cadastro,src/pages/auth,-,loading,publica,-,ativo
auth,/pending-approval,Aprovacao pendente,novo profissional,aguardar aprovacao do admin,src/pages/PendingApproval.tsx,-,estado bloqueio permanente,autenticado sem role,GET /api/profile,ativo
auth,/pre-cadastro/:token?,Pre-cadastro paciente,paciente/lead,preencher dados antes da 1a consulta,src/pages/PreCadastro.tsx,dados pessoais+anamnese,loading/erro token,publica (token),POST /api/precadastro,ativo
auth,/feedback-pre-cadastro,Feedback pre-cadastro,paciente,confirmar envio,src/pages/FeedbackPreCadastro.tsx,-,-,publica,-,ativo
auth,/indicacao/:code,Landing de indicacao,lead,captar lead por codigo de indicado,src/routes/auth.tsx (ReferralLanding),lead form,erro codigo invalido,publica,POST /api/referrals,ativo
auth,/tv/recepcao,TV sala de espera,recepcao,exibir fila/chamadas na TV,WaitingRoomTV,-,loading/empty,publica (kiosk),GET /api/appointments (dia),ativo
core,/agenda,Agenda (FullCalendar),admin/fisio/estagiario,gerenciar agendamentos dia/semana/mes,src/pages/Schedule.tsx + FullCalendar,quick create,skeleton/erro fetch/offline badge Pendente,ProtectedRoute,GET/POST/PATCH /api/appointments,ativo
core,/agenda (modal),AppointmentQuickView,fisio/admin,ver detalhes e acoes rapidas do agendamento,src/components/schedule/AppointmentQuickView.tsx (692L),status/confirmacao,loading,ProtectedRoute,PATCH /api/appointments/:id,ativo
core,/agenda (modal),AppointmentQuickEditModal,fisio/admin,editar agendamento (horario/terapeuta/status/pagamento),src/components/schedule/AppointmentQuickEditModal.tsx (950L),edicao completa,erro 409 conflito,ProtectedRoute,PATCH /api/appointments/:id,ativo
core,/agenda (modal),RecurringAppointmentModal,admin/fisio,criar serie recorrente,src/components/schedule/RecurringAppointmentModal.tsx (607L),recorrencia (tipo/intervalo/dias semana),preview ocorrencias/erros conflito,ProtectedRoute,POST /api/scheduling/recurring-series,ativo
core,/agenda/settings,Configuracoes da agenda (5 abas),admin,horarios/status/notificacoes/aparencia,src/pages (AgendaSettings)+TabSaveHandle/SettingsSaveBar,multi-abas com save unificado,dirty-state/erro save,ProtectedRoute,GET/PUT /api/scheduling-settings,ativo
core,/dashboard,Dashboard inicial,admin/fisio,visao geral do dia (KPIs+proximos atendimentos),src/pages/Index.tsx,-,skeleton/empty,ProtectedRoute,GET /api/clinic-metrics,ativo
core,/patients,Lista de pacientes,admin/fisio/estagiario,buscar e gerenciar pacientes,src/pages/Patients.tsx,busca/filtros,skeleton/empty/erro,ProtectedRoute,GET /api/patients,ativo
core,/patients (modal),NewPatientModal,admin/fisio,cadastrar paciente,src/components/modals/NewPatientModal.tsx (1076L),dados pessoais+contato+convenio (Zod),validacao inline/erro dup telefone E.164,ProtectedRoute,POST /api/patients,ativo
patients,/patients/new,Novo paciente (pagina),admin/fisio,cadastro completo,src/pages/patients,form multi-secao,validacao Zod,ProtectedRoute,POST /api/patients,ativo
patients,/patients/:id,Perfil do paciente,admin/fisio/estagiario,hub do paciente (historico/evolucoes/pacotes/midia),src/pages/patients + PatientMediaGallery (1264L),edicao inline,tabs com loading proprio,ProtectedRoute,GET /api/patients/:id + subrotas,ativo
patients,/patient-evolution/:appointmentId,Evolucao do atendimento,fisio/estagiario,registrar evolucao da sessao (TipTap+Yjs+ditado),src/pages/PatientEvolution.tsx + NotionEvolutionPanel/EvolutionNoScrollPanel,observacao livre+estruturados+procedimentos,autosave draft/conflito versao/offline/colaboracao presenca,ProtectedRoute,POST /api/sessions/autosave + POST /api/sessions/:id/finalize + WS EvolutionCollaborationSql,ativo
patients,/patient-evolution (modal),MedicalReturnFormModal,fisio,registrar pedido de retorno medico,src/components/evolution/MedicalReturnFormModal.tsx (735L),medico/prazo/anexo,validacao/erro upload,ProtectedRoute,POST /api/medical-requests,ativo
patients,/patient-evolution (modal),SurgeryFormModal / PathologyFormModal,fisio,registrar cirurgias e patologias,src/components/evolution/SurgeryFormModal.tsx (527L)/PathologyFormModal.tsx (609L),data/tipo/CID,validacao,ProtectedRoute,POST /api/clinical,ativo
