method,path,file,auth,roles/permission,entidades,consumidor_front,status
GET,/api/health,apps/api/src/index.ts:235,public,,health,sim,ativo
GET,/api/health/ready,apps/api/src/index.ts:240,public,,health (db+kv),não (monitor),ativo
GET,/api/health/db,apps/api/src/index.ts:270,public,,health (db),não (monitor),ativo
GET,/api/realtime,apps/api/src/index.ts:419,jwt (token query),,WebSocket realtime org,sim,ativo
GET,/api/sessions/:id/collaboration,apps/api/src/index.ts:571,jwt (token query),,WebSocket colaboração evolução,sim,ativo
ANY,/agents/*,apps/api/src/index.ts:563,jwt (Agents SDK routeAgentRequest),,Agents SDK (PatientAgent/ClinicAgent/VoiceScribe/AssessmentLive),sim,ativo
GET,/api/scheduling/settings/business-hours,apps/api/src/routes/scheduling-settings.ts:339,jwt,,scheduling-settings,sim,ativo
POST,/api/scheduling/settings/business-hours,apps/api/src/routes/scheduling-settings.ts:361,jwt,,scheduling-settings,sim,ativo
PUT,/api/scheduling/settings/business-hours,apps/api/src/routes/scheduling-settings.ts:362,jwt,,scheduling-settings,sim,ativo
GET,/api/scheduling/settings/blocked-times,apps/api/src/routes/scheduling-settings.ts:365,jwt,,scheduling-settings,sim,ativo
POST,/api/scheduling/settings/blocked-times,apps/api/src/routes/scheduling-settings.ts:379,jwt,,scheduling-settings,sim,ativo
DELETE,/api/scheduling/settings/blocked-times/:id,apps/api/src/routes/scheduling-settings.ts:413,jwt,,scheduling-settings,sim,ativo
GET,/api/scheduling/settings/cancellation-rules,apps/api/src/routes/scheduling-settings.ts:429,jwt,,scheduling-settings,sim,ativo
POST,/api/scheduling/settings/cancellation-rules,apps/api/src/routes/scheduling-settings.ts:451,jwt,,scheduling-settings,sim,ativo
PUT,/api/scheduling/settings/cancellation-rules,apps/api/src/routes/scheduling-settings.ts:452,jwt,,scheduling-settings,sim,ativo
GET,/api/scheduling/settings/notification-settings,apps/api/src/routes/scheduling-settings.ts:455,jwt,,scheduling-settings,sim,ativo
POST,/api/scheduling/settings/notification-settings,apps/api/src/routes/scheduling-settings.ts:477,jwt,,scheduling-settings,sim,ativo
PUT,/api/scheduling/settings/notification-settings,apps/api/src/routes/scheduling-settings.ts:478,jwt,,scheduling-settings,sim,ativo
GET,/api/scheduling/capacity-config,apps/api/src/routes/scheduling-settings.ts:481,jwt,,scheduling-settings,sim,ativo
POST,/api/scheduling/capacity-config,apps/api/src/routes/scheduling-settings.ts:503,jwt,,scheduling-settings,sim,ativo
PUT,/api/scheduling/capacity-config/:id,apps/api/src/routes/scheduling-settings.ts:537,jwt,,scheduling-settings,sim,ativo
DELETE,/api/scheduling/capacity-config/:id,apps/api/src/routes/scheduling-settings.ts:589,jwt,,scheduling-settings,sim,ativo
GET,/api/scheduling/settings/statuses,apps/api/src/routes/scheduling-settings.ts:606,jwt,,scheduling-settings,sim,ativo
POST,/api/scheduling/settings/statuses,apps/api/src/routes/scheduling-settings.ts:632,jwt,,scheduling-settings,sim,ativo
PUT,/api/scheduling/settings/statuses/:id,apps/api/src/routes/scheduling-settings.ts:666,jwt,,scheduling-settings,sim,ativo
DELETE,/api/scheduling/settings/statuses/:id,apps/api/src/routes/scheduling-settings.ts:720,jwt,,scheduling-settings,sim,ativo
GET,/api/scheduling/settings/booking-window,apps/api/src/routes/scheduling-settings.ts:762,jwt,,scheduling-settings,sim,ativo
POST,/api/scheduling/settings/booking-window,apps/api/src/routes/scheduling-settings.ts:784,jwt,,scheduling-settings,sim,ativo
PUT,/api/scheduling/settings/booking-window,apps/api/src/routes/scheduling-settings.ts:785,jwt,,scheduling-settings,sim,ativo
GET,/api/scheduling/settings/slot-config,apps/api/src/routes/scheduling-settings.ts:788,jwt,,scheduling-settings,sim,ativo
POST,/api/scheduling/settings/slot-config,apps/api/src/routes/scheduling-settings.ts:810,jwt,,scheduling-settings,sim,ativo
PUT,/api/scheduling/settings/slot-config,apps/api/src/routes/scheduling-settings.ts:811,jwt,,scheduling-settings,sim,ativo
GET,/api/scheduling/settings/no-show-policy,apps/api/src/routes/scheduling-settings.ts:863,jwt,,scheduling-settings,sim,ativo
POST,/api/scheduling/settings/no-show-policy,apps/api/src/routes/scheduling-settings.ts:885,jwt,,scheduling-settings,sim,ativo
PUT,/api/scheduling/settings/no-show-policy,apps/api/src/routes/scheduling-settings.ts:886,jwt,,scheduling-settings,sim,ativo
POST,/api/agents/resources/search,apps/api/src/routes/ai-agents.ts:18,jwt,,ai-agents,sim,ativo
POST,/api/agents/resources/suggest,apps/api/src/routes/ai-agents.ts:42,jwt,,ai-agents,sim,ativo
POST,/api/agents/soap-review,apps/api/src/routes/ai-agents.ts:58,public (SEM AUTH — risco),,ai-agents,sim,ativo
POST,/api/agents/tutor/chat,apps/api/src/routes/ai-agents.ts:80,public (SEM AUTH — risco),,ai-agents,sim,ativo
POST,/api/agents/simulator/chat,apps/api/src/routes/ai-agents.ts:119,public (SEM AUTH — risco),,ai-agents,sim,ativo
POST,/api/agents/simulator/evaluate,apps/api/src/routes/ai-agents.ts:149,public (SEM AUTH — risco),,ai-agents,sim,ativo
POST,/api/agents/charts/generate,apps/api/src/routes/ai-agents.ts:172,public (SEM AUTH — risco),,ai-agents,sim,ativo
POST,/api/agents/clinic/chat,apps/api/src/routes/ai-agents.ts:197,jwt,,ai-agents,sim,ativo
GET,/api/staff-schedules,apps/api/src/routes/staffSchedules.ts:12,jwt,,staffSchedules,sim,ativo
PUT,/api/staff-schedules/:therapistId/weekly,apps/api/src/routes/staffSchedules.ts:54,jwt,,staffSchedules,sim,ativo
POST,/api/staff-schedules/blocks,apps/api/src/routes/staffSchedules.ts:82,jwt,,staffSchedules,sim,ativo
DELETE,/api/staff-schedules/blocks/:id,apps/api/src/routes/staffSchedules.ts:117,jwt,,staffSchedules,sim,ativo
GET,/api/satisfaction-surveys,apps/api/src/routes/satisfactionSurveys.ts:10,jwt,,satisfactionSurveys,sim,ativo
GET,/api/satisfaction-surveys/stats,apps/api/src/routes/satisfactionSurveys.ts:51,jwt,,satisfactionSurveys,sim,ativo
POST,/api/satisfaction-surveys,apps/api/src/routes/satisfactionSurveys.ts:94,jwt,,satisfactionSurveys,sim,ativo
PATCH,/api/satisfaction-surveys/:id,apps/api/src/routes/satisfactionSurveys.ts:128,jwt,,satisfactionSurveys,sim,ativo
DELETE,/api/satisfaction-surveys/:id,apps/api/src/routes/satisfactionSurveys.ts:167,jwt,,satisfactionSurveys,sim,ativo
POST,/api/satisfaction-surveys/public,apps/api/src/routes/satisfactionSurveys.ts:181,public,,satisfactionSurveys,sim,ativo
POST,/api/satisfaction-surveys/nps,apps/api/src/routes/satisfactionSurveys.ts:271,public,,satisfactionSurveys,sim,ativo
GET,/api/satisfaction-surveys/latest-feedbacks,apps/api/src/routes/satisfactionSurveys.ts:321,jwt,,satisfactionSurveys,sim,ativo
GET,/api/analytics/at-risk-patients,apps/api/src/routes/analytics.ts:22,jwt,,analytics,sim,ativo
POST,/api/analytics/predict/:patientId,apps/api/src/routes/analytics.ts:52,jwt,,analytics,sim,ativo
GET,/api/analytics/business-kpis,apps/api/src/routes/analytics.ts:66,jwt,,analytics,sim,ativo
GET,/api/analytics/wiki-gaps,apps/api/src/routes/analytics.ts:85,jwt,,analytics,sim,ativo
GET,/api/analytics/dashboard,apps/api/src/routes/analytics.ts:143,jwt,,analytics,sim,ativo
GET,/api/analytics/bi,apps/api/src/routes/analytics.ts:228,jwt,,analytics,sim,ativo
GET,/api/analytics/top-exercises,apps/api/src/routes/analytics.ts:461,jwt,,analytics,sim,ativo
GET,/api/analytics/pain-map,apps/api/src/routes/analytics.ts:502,jwt,,analytics,sim,ativo
GET,/api/appointments,apps/api/src/routes/appointments.ts:66,jwt,,appointments,sim,ativo
POST,/api/appointments,apps/api/src/routes/appointments.ts:205,jwt,,appointments,sim,ativo
GET,/api/appointments/last-updated,apps/api/src/routes/appointments.ts:388,jwt,,appointments,sim,ativo
GET,/api/appointments/:id,apps/api/src/routes/appointments.ts:408,jwt,,appointments,sim,ativo
PATCH,/api/appointments/:id,apps/api/src/routes/appointments.ts:690,jwt,,appointments,sim,ativo
PUT,/api/appointments/:id,apps/api/src/routes/appointments.ts:691,jwt,,appointments,sim,ativo
POST,/api/appointments/:id/cancel,apps/api/src/routes/appointments.ts:693,jwt,,appointments,sim,ativo
DELETE,/api/appointments/:id,apps/api/src/routes/appointments.ts:741,jwt,,appointments,sim,ativo
