role,modulo,acao,enforcement_frontend,enforcement_api,enforcement_rls,evidencia,confianca
admin,admin-usuarios,listar/aprovar pendentes,sim (allowedRoles admin),sim (check inline admin),org-only,apps/api/src/routes/profile.ts:671-704; src/routes/admin.tsx:74,A
admin,admin-audit-logs,ver logs,sim (allowedRoles admin),parcial (rota audit-logs so requireAuth),org-only,src/routes/admin.tsx:82; apps/api/src/index.ts (mount /api/audit-logs),B
admin,admin-security,monitoramento seguranca,sim (allowedRoles admin),parcial (security.ts so requireAuth),org-only,src/routes/admin.tsx:91; apps/api/src/routes/security.ts,B
admin,cloudflare-control,operar infra,nao,sim (requireRole admin/owner),n/a,apps/api/src/routes/admin/cloudflare-control.ts:16,A
admin,docs-clinicos-kb,gerir base de conhecimento,menu apenas,sim (requireRole admin/owner),org-only,apps/api/src/routes/clinicalDocs.ts:20,A
admin,gamificacao,CRUD definicoes/quests/loja,sim (admin+fisio),sim (requireRole admin),org-only,apps/api/src/routes/gamification.ts:934-1303; src/routes/gamification.tsx:91,A
admin,exercicios,importar biblioteca,nao,sim (isAdmin local),org-only,apps/api/src/routes/exercise-import.ts:61-121,A
admin,anuncios,criar/editar/apagar,nao,sim (check inline admin/owner),org-only,apps/api/src/routes/announcements.ts:57-146,A
admin,pacientes,hard delete,nao,sim (admin ou email hardcoded),org-only,apps/api/src/routes/patients.ts:1465-1468,A
admin,whatsapp,todas as 15 permissoes,menu,sim (matriz WHATSAPP_PERMISSIONS),org-only,apps/api/src/middleware/whatsapp-rbac.ts:7-23,A
fisioterapeuta,agenda,CRUD agendamentos,sim (ProtectedRoute sem roles),nao (so requireAuth+rate limit),org-only,apps/api/src/routes/appointments.ts:208,A
fisioterapeuta,pacientes,CRUD prontuario/evolucao,sim (ProtectedRoute sem roles),nao (so requireAuth),org-only,apps/api/src/routes/patients.ts; sessions.ts,A
fisioterapeuta,financeiro,ver/criar lancamentos,NAO (ProtectedRoute sem allowedRoles),NAO (sem requireRole),org-only,src/routes/financial.tsx:46-104; apps/api/src/routes/financial.ts,A
