table,data_class,db_role,select_scope,insert_scope,update_scope,delete_scope,required_context,required_tests
organizations,personal,app_auth_definer,all_for_active_context_check,,,,security_definer_owner,"reachable only through narrow functions; PUBLIC denied"
organizations,personal,app_staff_runtime,current_org_if_active_membership_and_org,,,,org+identity+membership+authorization_version,"org A/B; closed/suspended org; missing context; pending/suspended/revoked; stale version"
organizations,personal,app_patient_runtime,current_org_if_active_link,,,,org+identity+patient+authorization_version,"own link; revoked link; guessed org"
identities,personal,app_auth_definer,all_for_resolver,,,,security_definer_owner,"issuer+subject exact; PUBLIC denied"
identities,personal,app_staff_runtime,current_identity_if_active_membership,,,,org+identity+membership+authorization_version,"own/foreign identity; role revoked"
identities,personal,app_patient_runtime,current_identity_if_active_link,,,,org+identity+patient+authorization_version,"own/foreign identity; link revoked"
organization_memberships,personal,app_auth_definer,all_for_resolver,,,,security_definer_owner,"multiple memberships; status returned not trusted"
organization_memberships,personal,app_staff_runtime,current_membership_if_active,,,,org+identity+membership+authorization_version,"self/other; pending/suspended/revoked; stale version"
membership_roles,personal,app_auth_definer,all_for_resolver,,,,security_definer_owner,"multiple roles; unknown role impossible"
membership_roles,personal,app_staff_runtime,current_membership_roles_if_active,,,,org+identity+membership+authorization_version,"self/other; role changed during session"
patients,sensitive_health,app_auth_definer,all_for_active_context_check,,,,security_definer_owner,"reachable only through narrow functions; PUBLIC denied"
patients,sensitive_health,app_staff_runtime,current_org_non_deleted_if_active_membership,,,,org+identity+membership+authorization_version,"org A/B; deleted patient; absent context; pool reuse; guessed UUID"
patients,sensitive_health,app_patient_runtime,current_non_deleted_patient_if_active_link,,,,org+identity+patient+authorization_version,"self/other/deleted patient; revoked link; guessed UUID"
patient_access_links,sensitive_health,app_auth_definer,all_for_resolver,,,,security_definer_owner,"issuer+subject exact; pending/revoked returned"
patient_access_links,sensitive_health,app_patient_runtime,current_link_if_active,,,,org+identity+patient+authorization_version,"own/foreign link; stale version"
idempotency_keys,sensitive_if_response_has_phi,app_staff_runtime,same_actor,same_actor,same_actor,,org+identity+active_staff_context,"atomic duplicate; hash mismatch; expiry; concurrent claim"
idempotency_keys,sensitive_if_response_has_phi,app_patient_runtime,same_actor,same_actor,same_actor,,org+identity+active_patient_context,"atomic duplicate; revoked link before replay; TTL"
outbox_events,internal_minimal_payload,app_staff_runtime,,append_as_current_staff,,,org+identity+membership+authorization_version,"spoofed actor/tenant rejected; no update/delete"
outbox_events,internal_minimal_payload,app_patient_runtime,,append_as_current_patient,,,org+identity+patient+authorization_version,"subject must be current patient; no update/delete"
outbox_events,internal_minimal_payload,app_jobs_runtime,all,,dispatch_state_only,,dedicated_jobs_login,"lease; retry; publish-mark gap; no delete"
consumer_receipts,internal,app_jobs_runtime,all,append_unique,,,dedicated_jobs_login,"duplicate receipt; effect+receipt rollback together"
audit_events,sensitive_health,app_audit_definer,,append_via_definer_only,,,validated_transaction_context,"direct runtime insert/select/update/delete denied; patient composite FK"
