id,atividade,area_responsavel,controlador,operador_terceiro,finalidade,base_legal,titulares,dados_pessoais,dados_sensiveis,fonte_dados,compartilhamento_externo,transferencia_internacional,retencao,criterio_descarte,medidas_seguranca,responsavel_interno,dpo_contato,ultima_revisao,proxima_revisao
1,Cadastro inicial de paciente,Recepção,"Activity Fisioterapia (CNPJ 54.836.577/0001-67)","Neon (banco); Cloudflare (infraestrutura)","Identificação do paciente para agendamento e atendimento","Execução de contrato (Art. 7º V) + tutela da saúde (Art. 11 II f)",Pacientes,"Nome, CPF, RG, data nasc., endereço, e-mail, telefone, convênio, foto documento (opcional)","Não diretamente — pode incluir alergias se informado",Coleta direta do paciente,"Cloudflare Inc. (infra); Neon (DB)","EUA (Cloudflare/Neon) sob DPA padrão LGPD/GDPR-equivalente","Enquanto durar relação clínica + 5 anos após último atendimento","Exclusão lógica + purga física via job de retenção","Criptografia AES-256 repouso, TLS 1.3 trânsito, RLS por org, MFA",Recepção,contato@activityfisioterapia.com.br,2026-05-19,2027-05-19
2,Pré-cadastro público via link (token),Recepção,Activity Fisioterapia,Cloudflare (Turnstile anti-bot),"Coleta preliminar de dados antes da primeira consulta, agilizando admissão","Consentimento (Art. 7º I) — formulário com opt-in explícito",Leads / futuros pacientes,"Nome, e-mail, telefone, queixa principal",Não,"Coleta direta via formulário público",Não há,EUA (CF Turnstile),"Convertido em paciente: vira atividade #1; não convertido: 90 dias","Purga automática se não convertido em paciente","Token único de uso, expira em 7 dias, Turnstile anti-bot",Recepção,contato@activityfisioterapia.com.br,2026-05-19,2027-05-19
3,Agendamento de consultas,Recepção,Activity Fisioterapia,Neon + Cloudflare,"Marcação, reagendamento e cancelamento de horários","Execução de contrato (Art. 7º V) + tutela da saúde (Art. 11 II f)",Pacientes,"Nome, telefone, data/hora da consulta, fisioterapeuta atendente","Especialidade buscada (pode revelar condição de saúde)",Coleta direta + integração calendário,Não há (interno),EUA (mesma salvaguarda),"5 anos do registro do agendamento","Purga automática",RLS por org + perfil de acesso (recepção/fisio/admin),Recepção,contato@activityfisioterapia.com.br,2026-05-19,2027-05-19
4,Prontuário e evolução clínica (SOAP/observação),Clínica,Activity Fisioterapia,Neon + Cloudflare (R2 para anexos),"Registro de anamnese, evolução, prescrição, exercícios, exames anexos","Tutela da saúde (Art. 11 II f) + obrigação legal (Art. 11 II a — Lei 13.787/2018 + COFFITO 415/2012)",Pacientes,"Nome, ID interno, data nasc.","Evolução clínica completa: observação SOAP, escala dor (EVA), procedimentos, exercícios, medições, fotos clínicas, áudio (Voice Scribe), exames laboratoriais/imagem","Coleta direta pelo fisioterapeuta durante atendimento",Não há,EUA (mesma salvaguarda),"20 anos do último atendimento (Lei 13.787/2018 art. 6º)","Pode ser permanente; descarte seguro via cron + log auditoria","Criptografia AES-256, RLS por org, MFA, logs de acesso retidos 2 anos (atividade #18)",Clínica / fisioterapeutas,contato@activityfisioterapia.com.br,2026-05-19,2027-05-19
5,Arquivamento de sessões em R2 Iceberg (S6.2),TI / DPO,Activity Fisioterapia,Cloudflare R2 Data Catalog,"Guarda de longo prazo de prontuário após 90d, reduzindo custo banco quente","Cumprimento de obrigação legal (Art. 16 II) + tutela da saúde (Art. 11 II f)",Pacientes,"Mesmos da atividade #4 (snapshot completo)",Sim — todo prontuário,Tabela sessions do Neon (origem da atividade #4),Cloudflare Inc.,EUA (DPA padrão MSA),"20 anos do último atendimento","DELETE FROM tabela Iceberg após 20 anos via R2 SQL","Criptografia AES-256, presigned URLs via Worker autenticado, audit em session_archive_runs",DPO Rafael Minatto,contato@activityfisioterapia.com.br,2026-05-19,2027-05-19
6,Consulta a sessões arquivadas,Clínica,Activity Fisioterapia,Cloudflare R2 SQL,"Continuidade do cuidado em retornos após >90d + atender pedidos de acesso (Art. 18 II)","Tutela da saúde (Art. 11 II f); art. 18 II LGPD",Pacientes,Mesmos da atividade #5 (leitura),Sim,"Tabela Iceberg fisioflow_archive.sessions_archive",Não há (leitura interna),EUA (mesma salvaguarda),"Logs de consulta em clinical_access_logs: 2 anos","Purga automática via pg_cron","Worker valida org_id antes de query R2 SQL; toda leitura logada com source=r2_archive",Clínica,contato@activityfisioterapia.com.br,2026-05-19,2027-05-19
7,Logs de acesso a prontuário,Segurança / DPO,Activity Fisioterapia,Neon + Axiom (logs),"Auditoria de acesso a dados sensíveis, investigação de incidente, conformidade Art. 46","Legítimo interesse (Art. 7º IX) — segurança de dados sensíveis",Profissionais de saúde (usuários) e indiretamente pacientes,"user_id, patient_id, session_id, ação, IP, User-Agent, timestamp",Não diretamente (refere acesso a dado sensível),"Captura automática middleware Worker",Cloudflare Logpush → Axiom (opcional),EUA (DPA padrão),"2 anos (LGPDPro / ANAHP)","DELETE FROM clinical_access_logs WHERE created_at < now() - interval '2 years' via pg_cron","RLS por org, índices por paciente/usuário, fire-and-forget (não bloqueia rota)",DPO Rafael Minatto,contato@activityfisioterapia.com.br,2026-05-19,2027-05-19
8,Atendimento de pedidos LGPD (art. 18),DPO,Activity Fisioterapia,Neon (lgpd_deletion_requests),"Registrar e responder pedidos de exclusão, acesso, correção, portabilidade","Cumprimento de obrigação legal (Art. 7º II + Art. 18)",Pacientes (titulares),"Nome, e-mail, ID paciente, tipo de pedido, status, base legal da resposta",Não,Solicitação direta do titular (portal ou e-mail),Não há,EUA (mesma salvaguarda),"5 anos para fins de evidência regulatória","Anonimização após 5 anos","Endpoint POST /api/lgpd/data-deletion-request com resposta automatizada; due_at 15 dias úteis",DPO Rafael Minatto,contato@activityfisioterapia.com.br,2026-05-19,2027-05-19
9,Faturamento e cobrança,Financeiro,Activity Fisioterapia,Neon,"Cobrança direta do paciente e via convênio (TISS)","Execução de contrato (Art. 7º V) + obrigação legal fiscal (Art. 7º II)",Pacientes,"Nome, CPF, valor, forma de pagamento, comprovante",Especialidade/procedimento (pode revelar condição),Coleta interna após atendimento,Gateway de pagamento (a definir),A definir conforme gateway,"5 anos (prescrição tributária)","Purga via job de retenção fiscal","Criptografia AES-256, perfil de acesso financeiro restrito",Financeiro,contato@activityfisioterapia.com.br,2026-05-19,2027-05-19
10,Emissão de Nota Fiscal de Serviço (NFS-e),Financeiro,Activity Fisioterapia,Prefeitura de São Paulo (sistema NFSe),"Obrigação fiscal — emissão de NF-e ABRASF","Cumprimento de obrigação legal (Art. 7º II)",Pacientes (tomador),"Nome, CPF, endereço, valor, código serviço",Não diretamente,Coleta da atividade #9,Prefeitura SP (sistema oficial),Não há (sistema nacional),"Indeterminado (obrigação fiscal — mínimo 5 anos)","Sem descarte enquanto vigência fiscal","mTLS com certificado A1, secret rotacionado, RPS XML assinado",Financeiro,contato@activityfisioterapia.com.br,2026-05-19,2027-05-19
11,Comunicação WhatsApp (lembretes consulta),Comunicação,Activity Fisioterapia,Meta (WhatsApp Business API),"Lembretes de consulta, confirmação, reagendamento","Execução de contrato (Art. 7º V) — não exige consentimento separado quando transacional",Pacientes,"Nome, telefone, data/hora da consulta",Não,Cadastro de paciente (atividade #1),Meta Platforms (EUA),"EUA — Meta tem cláusulas LGPD/GDPR no DPA","2 anos (histórico mensagens)","Purga automática + opt-out manual a qualquer momento","Templates aprovados pela Meta, logs em whatsapp_exercise_queue",Comunicação / Recepção,contato@activityfisioterapia.com.br,2026-05-19,2027-05-19
12,Marketing por WhatsApp/E-mail,Marketing,Activity Fisioterapia,Meta + provedor e-mail,"Promoções, novidades, conteúdo educativo","Consentimento (Art. 7º I) — opt-in explícito + opt-out fácil",Pacientes / Leads,"Nome, e-mail, telefone, histórico de campanha",Não,Cadastro + opt-in marketing,Meta + provedor e-mail,EUA (DPA padrão),"Até revogação do consentimento","Imediato após revogação ou 2 anos sem engajamento","marketing_consents documenta cada opt-in/opt-out timestamped",Marketing,contato@activityfisioterapia.com.br,2026-05-19,2027-05-19
13,NPS / Pesquisa de satisfação,Marketing / Qualidade,Activity Fisioterapia,Neon,"Medir satisfação e identificar pontos de melhoria","Consentimento (Art. 7º I) ou legítimo interesse (Art. 7º IX) com opt-out claro",Pacientes,"Nome, e-mail (opcional), nota NPS, comentário",Não,Coleta após atendimento via formulário,Não há,EUA,"3 anos (analítico)","Anonimização (manter nota, remover identificadores) após 3 anos","Link público com token único por paciente",Qualidade,contato@activityfisioterapia.com.br,2026-05-19,2027-05-19
14,Telemedicina (videoconferência LiveKit),Clínica,Activity Fisioterapia,LiveKit Inc.,"Atendimento à distância por videochamada","Tutela da saúde (Art. 11 II f) + consentimento específico para gravação se ocorrer",Pacientes,"Nome, ID consulta, áudio/vídeo da consulta (efêmero)",Áudio/vídeo da consulta clínica,"Coleta durante consulta",LiveKit (EUA),EUA — LiveKit tem DPA,"Efêmero — não gravado por padrão; quando gravado: prontuário (atividade #4)","Não persistido a menos que vinculado ao prontuário",Token JWT com TTL curto + WebRTC E2E criptografado,Clínica,contato@activityfisioterapia.com.br,2026-05-19,2027-05-19
15,Voice Scribe (transcrição áudio da consulta),Clínica,Activity Fisioterapia,Cloudflare Workers AI,"Auxiliar redação de evolução por ditado","Tutela da saúde (Art. 11 II f) — extensão do prontuário",Pacientes (vozes capturadas) + fisioterapeuta,"ID consulta, ID paciente, ID fisio",Áudio da consulta + transcrição (vai pro prontuário),"Microfone do navegador durante atendimento",Cloudflare AI (EUA),EUA — CF AI tem DPA,"Áudio: descartado após transcrição; transcrição vira prontuário (atividade #4 — 20 anos)","Áudio nunca persistido em R2","WebSocket TLS + STT em DO efêmero (não armazena áudio)",Clínica,contato@activityfisioterapia.com.br,2026-05-19,2027-05-19
