tipo,nome,detalhe,escopo,status,evidencia
worker,fisioflow-api,API Hono principal; domains api-pro/api-paciente.moocafisio.com.br; smart placement,fisioflow,ativo-prod,CF-001
worker,fisioflow-web,Workers Assets do frontend (asset-worker.ts); moocafisio.com.br + www,fisioflow,ativo-prod,CF-001
worker,fisioflow-api-staging,staging da API,fisioflow,ativo-staging,CF-001
worker,fisioflow-web-staging,staging do web,fisioflow,ativo-staging,CF-001
worker,fisioflow-ai-gateway,router LLM auxiliar (apps/ai-gateway),fisioflow,ativo (modificado 05/2026),CF-001
worker,fisioflow-mcp-server,MCP server (apps/mcp-server),fisioflow,ativo (modificado 06/2026),CF-001
worker,fisioflow-mcp,MCP antigo,fisioflow,legado-suspeito (05/2026),CF-001
worker,api-worker,fora do escopo FisioFlow (criado 06-07/jul),outro-projeto,fora-do-escopo,CF-001
worker,auth-worker,fora do escopo FisioFlow,outro-projeto,fora-do-escopo,CF-001
worker,scheduled-worker,fora do escopo FisioFlow,outro-projeto,fora-do-escopo,CF-001
worker,background-worker,fora do escopo FisioFlow,outro-projeto,fora-do-escopo,CF-001
worker,activity-lab-web,lab.moocafisio.com.br,activity-lab,paralelo,CF-001
worker,activity-lab-whc06-web,lab2.moocafisio.com.br,activity-lab,paralelo,CF-001
worker,activity-lab-api,API do activity-lab,activity-lab,paralelo,CF-001
worker,gestao-saude-cloudflare,projeto gestão-saúde,outro-projeto,fora-do-escopo,CF-001
hyperdrive,fisioflow-neon (12b9fefcfbc04074a63342a9212e1b4f),origin ep-wandering-bonus-acj4zwvo.sa-east-1 db neondb user neondb_owner; caching DISABLED,fisioflow,ativo-prod,CF-002
hyperdrive,fisioflow-neon-staging (37189eb42d314a0a8fd0e169a2b27ad1),origin -pooler user app_runtime; caching 300s,fisioflow,staging,CF-002
hyperdrive,gestao-saude-db,outro projeto,outro-projeto,fora-do-escopo,CF-002
kv,FISIOFLOW_CONFIG (4284b33fa7ed40b6bc9c59b6041c03ed),config runtime binding FISIOFLOW_CONFIG,fisioflow,ativo,CF-003
kv,staging-FISIOFLOW_CONFIG,staging,fisioflow,staging,CF-003
